Distance,WLK,BIC,T,DRV,CARPOOL,Total
0,0.566011720097,0.146845915202,0.183385039642,0.100310237849,0.00344708721131,2901
1,0.257203389831,0.194915254237,0.422881355932,0.11313559322,0.0118644067797,2360
2,0.0976138828633,0.187635574837,0.55748373102,0.134490238612,0.0227765726681,922
3,0.012987012987,0.11544011544,0.646464646465,0.194805194805,0.030303030303,693
4,0.00717360114778,0.0674318507891,0.675753228121,0.22525107604,0.0243902439024,697
5,0.0034188034188,0.0598290598291,0.670085470085,0.244444444444,0.0222222222222,585
6,0.00228310502283,0.041095890411,0.655251141553,0.267123287671,0.0342465753425,438
7,0.0,0.0215827338129,0.635491606715,0.287769784173,0.0551558752998,417
8,0.00289855072464,0.0231884057971,0.466666666667,0.455072463768,0.0521739130435,345
9,0.0,0.0196850393701,0.425196850394,0.507874015748,0.0472440944882,254
10,0.0,0.00867052023121,0.433526011561,0.49710982659,0.0606936416185,346
11,0.002849002849,0.011396011396,0.435897435897,0.501424501425,0.048433048433,351
12,0.0,0.0249110320285,0.359430604982,0.555160142349,0.0604982206406,281
13,0.0,0.0,0.235294117647,0.666666666667,0.0980392156863,153
14,0.0,0.0059880239521,0.389221556886,0.562874251497,0.0419161676647,167
15,0.0,0.0,0.335877862595,0.603053435115,0.0610687022901,131
16,0.0,0.0,0.312883435583,0.662576687117,0.0245398773006,163
17,0.0,0.0,0.287037037037,0.657407407407,0.0555555555556,108
18,0.0,0.0,0.330275229358,0.623853211009,0.045871559633,109
19,0.0,0.0,0.195652173913,0.739130434783,0.0652173913043,92
20,0.0,0.0,0.313953488372,0.662790697674,0.0232558139535,86
21,0.0,0.0,0.25,0.638888888889,0.111111111111,72
22,0.0,0.0,0.320512820513,0.628205128205,0.0512820512821,78
23,0.0,0.0126582278481,0.291139240506,0.607594936709,0.0886075949367,79
24,0.0,0.0104166666667,0.291666666667,0.65625,0.0416666666667,96
25,0.0,0.015625,0.28125,0.625,0.078125,64
26,0.0,0.0,0.369565217391,0.608695652174,0.0217391304348,46
27,0.0,0.0128205128205,0.294871794872,0.679487179487,0.0128205128205,78
28,0.0,0.0,0.358208955224,0.582089552239,0.0597014925373,67
29,0.0,0.0,0.432432432432,0.554054054054,0.0135135135135,74
30,0.0,0.0,0.285714285714,0.714285714286,0.0,49
31,0.0,0.0,0.409836065574,0.540983606557,0.0491803278689,61
32,0.0,0.0,0.333333333333,0.547619047619,0.119047619048,42
33,0.0,0.0,0.461538461538,0.538461538462,0.0,39
34,0.0123456790123,0.0123456790123,0.382716049383,0.58024691358,0.0123456790123,81
35,0.0,0.0,0.290322580645,0.677419354839,0.0322580645161,31
36,0.0,0.0,0.25,0.730769230769,0.0192307692308,52
37,0.0,0.0,0.263157894737,0.684210526316,0.0526315789474,38
38,0.0,0.0,0.5,0.454545454545,0.0454545454545,22
39,0.0,0.0227272727273,0.272727272727,0.636363636364,0.0681818181818,44
40,0.0,0.0,0.4,0.577777777778,0.0222222222222,45
41,0.0,0.0,0.32,0.68,0.0,25
42,0.0,0.0,0.512195121951,0.439024390244,0.0487804878049,41
43,0.0,0.0,0.333333333333,0.583333333333,0.0833333333333,24
44,0.0,0.0,0.257142857143,0.742857142857,0.0,35
45,0.0,0.0,0.414634146341,0.585365853659,0.0,41
46,0.0,0.0,0.206896551724,0.758620689655,0.0344827586207,29
47,0.0,0.0,0.259259259259,0.62962962963,0.111111111111,27
48,0.0,0.0,0.2,0.8,0.0,10
49,0.0,0.0,0.333333333333,0.666666666667,0.0,21
50,0.0,0.0,0.571428571429,0.333333333333,0.0952380952381,21
51,0.0,0.0,0.285714285714,0.666666666667,0.047619047619,21
52,0.0,0.0,0.4,0.4,0.2,10
53,0.0,0.0,0.5,0.4375,0.0625,16
54,0.0,0.0,0.333333333333,0.571428571429,0.0952380952381,21
55,0.0,0.0,0.352941176471,0.647058823529,0.0,17
56,0.0,0.0,0.47619047619,0.47619047619,0.047619047619,21
57,0.0,0.0,0.285714285714,0.714285714286,0.0,7
58,0.0,0.0,0.333333333333,0.5,0.166666666667,24
59,0.0,0.0,0.421052631579,0.578947368421,0.0,19
60,0.0,0.0,0.285714285714,0.428571428571,0.285714285714,7
61,0.0,0.0,0.3,0.65,0.05,20
62,0.0,0.0,0.461538461538,0.538461538462,0.0,13
63,0.0,0.0,0.272727272727,0.727272727273,0.0,11
64,0.0,0.0,0.272727272727,0.727272727273,0.0,11
65,0.0,0.0,0.411764705882,0.588235294118,0.0,17
66,0.0,0.0833333333333,0.5,0.333333333333,0.0833333333333,12
67,0.0,0.0,0.4,0.5,0.1,10
68,0.0,0.0,0.545454545455,0.454545454545,0.0,11
69,0.0,0.0,0.166666666667,0.833333333333,0.0,6
70,0.0,0.0,0.428571428571,0.428571428571,0.142857142857,7
71,0.0,0.0,0.571428571429,0.285714285714,0.142857142857,7
72,0.0,0.0,0.5,0.5,0.0,2
73,0.0,0.0,0.5,0.5,0.0,6
74,0.0,0.0,0.777777777778,0.222222222222,0.0,9
75,0.0,0.0,0.6,0.4,0.0,5
76,0.0,0.0,0.6,0.4,0.0,10
77,0.0,0.0,0.5,0.5,0.0,4
78,0.0,0.0,0.5,0.5,0.0,6
79,0.0,0.0,0.666666666667,0.333333333333,0.0,6
80,0.0,0.0,0.411764705882,0.588235294118,0.0,17
85,0.0,0.0,0.538461538462,0.384615384615,0.0769230769231,13
90,0.0,0.0,0.25,0.75,0.0,8
95,0.0,0.1,0.7,0.1,0.1,10
100,0.0,0.0714285714286,0.214285714286,0.714285714286,0.0,14
